[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'existing_updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427821462 | utc=2026-04-05 22:23:41.462000+00:00 | ist=2026-04-06 03:53:41.462000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
